x,y,height,momentum_x
250,250,14,0
750,250,14,0
1250,250,14,0
1750,250,14,0
2250,250,14,0
2750,250,14,0
3250,250,14,0
3750,250,14,0
4250,250,14,0
4750,250,14,0
5250,250,14,0
5750,250,14,0
6250,250,14,0
6750,250,14,0
7250,250,14,0
7750,250,14,0
8250,250,14,0
8750,250,14,0
9250,250,14,0
9750,250,14,0
10250,250,14,0
10750,250,14,0
11250,250,14,0
11750,250,14,0
12250,250,14,0
12750,250,14,1.03698e-08
13250,250,14,2.69426e-07
13750,250,14,3.37517e-06
14250,250,14,2.71568e-05
14750,250,14,0.000157747
15250,250,13.9999,0.000705072
15750,250,13.9996,0.0025244
16250,250,13.9988,0.00744424
16750,250,13.9966,0.0184596
17250,250,13.9917,0.0391335
17750,250,13.9822,0.0719434
18250,250,13.9661,0.116233
18750,250,13.9418,0.167256
19250,250,13.9089,0.21744
19750,250,13.868,0.259402
20250,250,13.821,0.288821
20750,250,13.7698,0.305433
21250,250,13.7166,0.31193
21750,250,13.6628,0.311955
22250,250,13.6091,0.308538
22750,250,13.556,0.303538
23250,250,13.5038,0.297832
23750,250,13.4525,0.291734
24250,250,13.3998,0.285348
24750,250,12.9397,0.283017
25250,250,2.00672,0.7
25750,250,2.00672,0.7
26250,250,2.00672,0.7
26750,250,2.00672,0.7
27250,250,2.00672,0.7
27750,250,2.00672,0.7
28250,250,2.00672,0.7
28750,250,2.00672,0.7
29250,250,2.00672,0.7
29750,250,2.00672,0.7
30250,250,2.00672,0.7
30750,250,2.00672,0.7
31250,250,2.00672,0.7
31750,250,2.00672,0.7
32250,250,2.00672,0.7
32750,250,2.00672,0.7
33250,250,2.00672,0.7
33750,250,2.00672,0.7
34250,250,2.00672,0.7
34750,250,2.00672,0.7
35250,250,2.00672,0.7
35750,250,2.00672,0.7
36250,250,2.00672,0.7
36750,250,2.00672,0.7
37250,250,2.00672,0.7
37750,250,2.00672,0.7
38250,250,2.00672,0.7
38750,250,2.00672,0.7
39250,250,2.00672,0.7
39750,250,2.00672,0.7
40250,250,2.00672,0.7
40750,250,2.00672,0.7
41250,250,2.00672,0.7
41750,250,2.00673,0.699999
42250,250,2.00673,0.699993
42750,250,2.00674,0.699959
43250,250,2.00679,0.699798
43750,250,2.00704,0.699134
44250,250,2.00798,0.696787
44750,250,2.0111,0.689658
45250,250,2.02011,0.671062
45750,250,2.04272,0.629595
46250,250,2.09181,0.55155
46750,250,2.18334,0.430605
47250,250,2.32896,0.282089
47750,250,2.52704,0.144365
48250,250,2.76122,0.0529458
48750,250,3.01005,0.0122459
49250,250,3.25804,0.00133874
49750,250,3.5,2.09509e-08
