x,y,height,momentum_x
250,250,13.9998,0.000884099
750,250,13.9996,0.00178372
1250,250,13.9991,0.00340883
1750,250,13.9983,0.00617957
2250,250,13.9969,0.0106413
2750,250,13.9945,0.0174314
3250,250,13.9907,0.0272025
3750,250,13.9849,0.0405038
4250,250,13.9765,0.0576407
4750,250,13.9649,0.0785432
5250,250,13.9494,0.102688
5750,250,13.9295,0.129106
6250,250,13.9051,0.156482
6750,250,13.876,0.183334
7250,250,13.8424,0.208233
7750,250,13.8047,0.229999
8250,250,13.7636,0.247841
8750,250,13.7197,0.26141
9250,250,13.6738,0.270768
9750,250,13.6265,0.276298
10250,250,13.5784,0.278574
10750,250,13.5301,0.278243
11250,250,13.4819,0.275921
11750,250,13.4342,0.272135
12250,250,13.3871,0.267287
12750,250,13.3409,0.261662
13250,250,13.2956,0.255439
13750,250,13.2514,0.248718
14250,250,13.2084,0.24154
14750,250,13.1665,0.233906
15250,250,13.126,0.225791
15750,250,13.0869,0.217148
16250,250,13.0494,0.207912
16750,250,13.0135,0.197994
17250,250,nan,nan
17750,250,nan,nan
18250,250,nan,nan
18750,250,nan,nan
19250,250,nan,nan
19750,250,nan,nan
20250,250,nan,nan
20750,250,nan,nan
21250,250,nan,nan
21750,250,nan,nan
22250,250,nan,nan
22750,250,nan,nan
23250,250,nan,nan
23750,250,nan,nan
24250,250,nan,nan
24750,250,nan,nan
25250,250,nan,nan
25750,250,nan,nan
26250,250,nan,nan
26750,250,nan,nan
27250,250,nan,nan
27750,250,nan,nan
28250,250,nan,nan
28750,250,nan,nan
29250,250,nan,nan
29750,250,nan,nan
30250,250,nan,nan
30750,250,nan,nan
31250,250,nan,nan
31750,250,nan,nan
32250,250,nan,nan
32750,250,nan,nan
33250,250,nan,nan
33750,250,nan,nan
34250,250,nan,nan
34750,250,nan,nan
35250,250,nan,nan
35750,250,nan,nan
36250,250,nan,nan
36750,250,nan,nan
37250,250,nan,nan
37750,250,nan,nan
38250,250,nan,nan
38750,250,nan,nan
39250,250,nan,nan
39750,250,nan,nan
40250,250,nan,nan
40750,250,nan,nan
41250,250,nan,nan
41750,250,nan,nan
42250,250,nan,nan
42750,250,nan,nan
43250,250,nan,nan
43750,250,nan,nan
44250,250,nan,nan
44750,250,0.280025,0.207875
45250,250,0.748975,0.0643526
45750,250,1.16491,0.0171807
46250,250,1.53567,0.00385072
46750,250,1.87169,0.000710913
47250,250,2.18163,0.000105297
47750,250,2.47165,1.20273e-05
48250,250,2.74592,9.9428e-07
48750,250,3.00731,5.29335e-08
49250,250,3.2578,1.36261e-09
49750,250,3.5,-6.48227e-18
