x,y,height,momentum_x
250,250,14,0
750,250,14,0
1250,250,14,0
1750,250,14,0
2250,250,14,0
2750,250,14,0
3250,250,14,0
3750,250,14,0
4250,250,14,0
4750,250,14,0
5250,250,14,0
5750,250,14,0
6250,250,14,0
6750,250,14,0
7250,250,14,0
7750,250,14,0
8250,250,14,0
8750,250,14,0
9250,250,14,0
9750,250,14,0
10250,250,14,0
10750,250,14,0
11250,250,14,0
11750,250,14,0
12250,250,14,0
12750,250,14,0
13250,250,14,0
13750,250,14,0
14250,250,14,0
14750,250,14,0
15250,250,14,0
15750,250,14,0
16250,250,14,0
16750,250,14,0
17250,250,14,0
17750,250,14,0
18250,250,14,0
18750,250,14,0
19250,250,14,0
19750,250,14,0
20250,250,14,0
20750,250,14,0
21250,250,14,0
21750,250,14,0
22250,250,14,0
22750,250,14,0
23250,250,14,0
23750,250,14,0
24250,250,14,0
24750,250,14,0
25250,250,3.5,0.7
25750,250,3.5,0.7
26250,250,3.5,0.7
26750,250,3.5,0.7
27250,250,3.5,0.7
27750,250,3.5,0.7
28250,250,3.5,0.7
28750,250,3.5,0.7
29250,250,3.5,0.7
29750,250,3.5,0.7
30250,250,3.5,0.7
30750,250,3.5,0.7
31250,250,3.5,0.7
31750,250,3.5,0.7
32250,250,3.5,0.7
32750,250,3.5,0.7
33250,250,3.5,0.7
33750,250,3.5,0.7
34250,250,3.5,0.7
34750,250,3.5,0.7
35250,250,3.5,0.7
35750,250,3.5,0.7
36250,250,3.5,0.7
36750,250,3.5,0.7
37250,250,3.5,0.7
37750,250,3.5,0.7
38250,250,3.5,0.7
38750,250,3.5,0.7
39250,250,3.5,0.7
39750,250,3.5,0.7
40250,250,3.5,0.7
40750,250,3.5,0.7
41250,250,3.5,0.7
41750,250,3.5,0.7
42250,250,3.5,0.7
42750,250,3.5,0.7
43250,250,3.5,0.7
43750,250,3.5,0.7
44250,250,3.5,0.7
44750,250,3.5,0.7
45250,250,3.5,0.7
45750,250,3.5,0.7
46250,250,3.5,0.7
46750,250,3.5,0.7
47250,250,3.5,0.7
47750,250,3.5,0.7
48250,250,3.5,0.7
48750,250,3.5,0.7
49250,250,3.5,0.7
49750,250,3.5,0.7
