time,height
0.000000,14.000000
10.000000,14.000000
20.000000,14.000000
30.000000,14.000000
40.000000,14.000000
50.000000,14.000000
60.000000,14.000000
70.000000,14.000000
80.000000,14.000000
90.000000,14.000000
100.000000,14.000000
110.000000,14.000000
120.000000,14.000000
130.000000,14.000000
140.000000,14.000000
150.000000,14.000000
160.000000,14.000000
170.000000,14.000000
180.000000,14.000000
190.000000,14.000000
200.000000,14.000000
210.000000,14.000000
220.000000,14.000000
230.000000,14.000000
240.000000,14.000000
250.000000,14.000000
260.000000,14.000000
270.000000,14.000000
280.000000,14.000000
290.000000,14.000000
300.000000,14.000000
310.000000,14.000000
320.000000,14.000000
330.000000,14.000000
340.000000,14.000000
350.000000,14.000000
360.000000,14.000000
370.000000,14.000000
380.000000,14.000000
390.000000,14.000000
400.000000,14.000000
410.000000,14.000000
420.000000,14.000000
430.000000,14.000000
440.000000,14.000000
450.000000,14.000000
460.000000,14.000000
470.000000,14.000000
480.000000,14.000000
490.000000,14.000000
500.000000,14.000000
510.000000,14.000000
520.000000,14.000000
530.000000,14.000000
540.000000,14.000000
550.000000,14.000000
560.000000,14.000000
570.000000,14.000000
580.000000,14.000000
590.000000,14.000000
600.000000,14.000000
610.000000,14.000000
620.000000,14.000000
630.000000,14.000000
640.000000,14.000000
650.000000,14.000000
660.000000,14.000000
670.000000,14.000000
680.000000,14.000000
690.000000,14.000000
700.000000,14.000000
710.000000,14.000000
720.000000,14.000000
730.000000,14.000000
740.000000,14.000000
750.000000,13.999999
760.000000,13.999999
770.000000,13.999996
780.000000,13.999996
790.000000,13.999990
800.000000,13.999990
810.000000,13.999990
820.000000,13.999973
830.000000,13.999973
840.000000,13.999941
850.000000,13.999941
860.000000,13.999878
870.000000,13.999878
880.000000,13.999763
890.000000,13.999763
900.000000,13.999562
910.000000,13.999562
920.000000,13.999233
930.000000,13.999233
940.000000,13.998714
950.000000,13.998714
960.000000,13.997931
970.000000,13.997931
980.000000,13.997931
990.000000,13.996793
1000.000000,13.996793
1010.000000,13.995192
1020.000000,13.995192
1030.000000,13.993010
1040.000000,13.993010
1050.000000,13.990120
1060.000000,13.990120
1070.000000,13.986393
1080.000000,13.986393
1090.000000,13.981704
1100.000000,13.981704
1110.000000,13.975934
1120.000000,13.975934
1130.000000,13.975934
1140.000000,13.968981
1150.000000,13.968981
1160.000000,13.960761
1170.000000,13.960761
1180.000000,13.951215
1190.000000,13.951215
1200.000000,13.940307
1210.000000,13.940307
1220.000000,13.928028
1230.000000,13.928028
1240.000000,13.914396
1250.000000,13.914396
1260.000000,13.899450
1270.000000,13.899450
1280.000000,13.883251
1290.000000,13.883251
1300.000000,13.883251
1310.000000,13.865875
1320.000000,13.865875
1330.000000,13.847416
1340.000000,13.847416
1350.000000,13.827974
1360.000000,13.827974
1370.000000,13.807655
1380.000000,13.807655
1390.000000,13.786570
1400.000000,13.786570
1410.000000,13.764825
1420.000000,13.764825
1430.000000,13.742526
1440.000000,13.742526
1450.000000,13.742526
1460.000000,13.719772
1470.000000,13.719772
1480.000000,13.696658
1490.000000,13.696658
1500.000000,13.673269
1510.000000,13.673269
1520.000000,13.649683
1530.000000,13.649683
1540.000000,13.625969
1550.000000,13.625969
1560.000000,13.602189
1570.000000,13.602189
1580.000000,13.578397
1590.000000,13.578397
1600.000000,13.554640
1610.000000,13.554640
1620.000000,13.554640
1630.000000,13.530960
1640.000000,13.530960
1650.000000,13.507391
1660.000000,13.507391
1670.000000,13.483964
1680.000000,13.483964
1690.000000,13.460705
1700.000000,13.460705
1710.000000,13.437634
1720.000000,13.437634
1730.000000,13.414773
1740.000000,13.414773
1750.000000,13.392137
1760.000000,13.392137
1770.000000,13.392137
1780.000000,13.369739
1790.000000,13.369739
1800.000000,13.347592
1810.000000,13.347592
1820.000000,13.325709
1830.000000,13.325709
1840.000000,13.304100
1850.000000,13.304100
1860.000000,13.282774
1870.000000,13.282774
1880.000000,nan
1890.000000,nan
1900.000000,nan
1910.000000,nan
