longitude,latitude,track_location,height
141.265486334,37.3213547021,21.3124088791,-119.707509147
141.268101035,37.3214041435,21.5440654559,-120.718051193
141.270715739,37.3214535273,21.7757220318,-122.076308374
141.273330446,37.3215028537,22.0073786069,-123.151554842
141.275945157,37.3215521224,22.2390351811,-123.052248795
141.278559871,37.3216013337,22.4706917544,-123.058129549
141.281174588,37.3216504874,22.7023483269,-123.254370426
141.283789309,37.3216995836,22.9340048986,-123.599634967
141.286404034,37.3217486223,23.1656614694,-124.111300532
141.289018761,37.3217976034,23.3973180393,-124.760093781
141.291633492,37.321846527,23.6289746084,-125.429852199
141.294248227,37.321895393,23.8606311766,-126.103184379
141.296862965,37.3219442015,24.092287744,-126.757550231
141.299477706,37.3219929525,24.3239443105,-127.352350915
141.30209245,37.322041646,24.5556008762,-127.839197278
141.304707198,37.3220902819,24.787257441,-127.986706016
141.307321949,37.3221388603,25.018914005,-127.982302857
141.309936704,37.3221873812,25.2505705681,-127.943984739
141.312551462,37.3222358445,25.4822271304,-128.431355522
141.315166223,37.3222842503,25.7138836919,-129.142376571
141.317780988,37.3223325985,25.9455402525,-129.851998922
141.320395756,37.3223808892,26.1771968123,-130.453584984
141.323010527,37.3224291224,26.4088533712,-131.015655983
141.325625302,37.3224772981,26.6405099293,-131.645588306
141.32824008,37.3225254162,26.8721664865,-132.278981541
141.330854861,37.3225734767,27.1038230429,-132.906526534
141.333469646,37.3226214798,27.3354795985,-133.51835708
141.336084433,37.3226694253,27.5671361532,-134.118638887
141.338699225,37.3227173133,27.7987927071,-134.681219919
141.341314019,37.3227651437,28.0304492602,-135.772203327
141.343928817,37.3228129166,28.2621058125,-137.038258953
141.346543618,37.3228606319,28.4937623639,-137.772795389
141.349158422,37.3229082898,28.7254189145,-138.041072389
141.35177323,37.3229558901,28.9570754642,-137.980138634
141.354388041,37.3230034328,29.1887320131,-138.588300088
141.357002855,37.323050918,29.4203885612,-139.080212673
141.359617673,37.3230983457,29.6520451085,-139.000922008
141.362232493,37.3231457158,29.8837016549,-139.429286112
141.364847317,37.3231930284,30.1153582005,-140.131767075
141.367462145,37.3232402835,30.3470147453,-140.806267927
141.370076975,37.323287481,30.5786712893,-141.12344273
141.372691809,37.323334621,30.8103278325,-141.10861498
141.375306646,37.3233817035,31.0419843748,-141.123502061
141.377921486,37.3234287284,31.2736409163,-141.1290932
141.38053633,37.3234756957,31.505297457,-141.141865078
141.383151177,37.3235226056,31.7369539969,-141.097862558
141.385766027,37.3235694579,31.9686105359,-141.216037011
141.38838088,37.3236162526,32.2002670742,-141.87028929
141.390995737,37.3236629898,32.4319236116,-142.494018151
141.393610596,37.3237096695,32.6635801482,-143.032801505
141.396225459,37.3237562916,32.895236684,-143.659873137
141.398840325,37.3238028562,33.126893219,-144.048006669
141.401455195,37.3238493633,33.3585497532,-144.081912042
141.404070067,37.3238958128,33.5902062866,-144.087860861
141.406684943,37.3239422048,33.8218628191,-144.102280684
141.409299822,37.3239885392,34.0535193509,-144.202815169
141.411914704,37.3240348161,34.2851758818,-144.546284449
141.414529589,37.3240810354,34.516832412,-145.088658488
141.417144478,37.3241271973,34.7484889413,-145.85821347
141.41975937,37.3241733015,34.9801454699,-146.198418521
141.422374265,37.3242193483,35.2118019976,-145.938838234
141.424989163,37.3242653374,35.4434585245,-147.105123636
141.427604064,37.3243112691,35.6751150507,-148.664621455
141.430218968,37.3243571432,35.906771576,-149.824085501
141.432833876,37.3244029598,36.1384281005,-149.931645059
141.435448787,37.3244487188,36.3700846243,-149.530773104
141.4380637,37.3244944203,36.6017411472,-150.273599888
141.440678618,37.3245400642,36.8333976694,-150.704628433
141.443293538,37.3245856506,37.0650541907,-150.527898133
141.445908461,37.3246311794,37.2967107113,-150.623081118
141.448523388,37.3246766507,37.5283672311,-150.96072324
141.451138317,37.3247220645,37.76002375,-151.549986129
141.45375325,37.3247674207,37.9916802682,-152.600412951
141.456368186,37.3248127194,38.2233367856,-153.982226259
141.458983125,37.3248579605,38.4549933022,-155.350197794
141.461598067,37.3249031441,38.686649818,-156.787799542
141.464213012,37.3249482702,38.9183063331,-158.346721346
141.46682796,37.3249933387,39.1499628473,-160.082577521
141.469442912,37.3250383496,39.3816193608,-161.444858614
141.472057866,37.325083303,39.6132758735,-161.965968646
141.474672824,37.3251281989,39.8449323854,-162.577195146
141.477287785,37.3251730372,40.0765888965,-163.08488937
141.479902749,37.325217818,40.3082454068,-162.97837171
141.482517716,37.3252625413,40.5399019164,-163.191080004
141.485132686,37.3253072069,40.7715584252,-163.897861547
141.487747659,37.3253518151,41.0032149332,-165.108806864
141.490362635,37.3253963657,41.2348714404,-166.429173362
141.492977614,37.3254408587,41.4665279469,-167.600514739
141.495592596,37.3254852942,41.6981844525,-169.260408434
141.498207582,37.3255296722,41.9298409574,-171.256160637
141.50082257,37.3255739926,42.1614974616,-173.423518559
141.503437562,37.3256182555,42.3931539649,-175.302154051
141.506052556,37.3256624608,42.6248104675,-176.940481675
141.508667554,37.3257066086,42.8564669693,-178.799734926
141.511282554,37.3257506988,43.0881234704,-180.719997701
141.513897558,37.3257947315,43.3197799707,-182.65521515
141.516512565,37.3258387066,43.5514364702,-183.902653287
141.519127575,37.3258826242,43.783092969,-184.98459084
141.521742587,37.3259264843,44.014749467,-186.635622505
141.524357603,37.3259702868,44.2464059642,-188.072075694
141.526972622,37.3260140317,44.4780624606,-189.271031879
141.529587644,37.3260577191,44.7097189564,-190.565784152
141.532202669,37.3261013489,44.9413754513,-191.757459643
141.534817697,37.3261449212,45.1730319455,-192.777613651
141.537432727,37.326188436,45.4046884389,-195.360089866
141.540047761,37.3262318932,45.6363449316,-198.142231438
141.542662798,37.3262752929,45.8680014235,-199.614816822
141.545277838,37.326318635,46.0996579146,-199.721555142
141.547892881,37.3263619195,46.3313144051,-199.391307757
141.550507927,37.3264051465,46.5629708947,-201.677177272
141.553122976,37.326448316,46.7946273836,-204.696570554
141.555738027,37.3264914279,47.0262838717,-207.774454762
141.558353082,37.3265344823,47.2579403591,-209.337336443
141.56096814,37.3265774791,47.4895968458,-210.260381718
141.563583201,37.3266204183,47.7212533317,-211.152941957
141.566198264,37.3266633,47.9529098168,-212.55769836
141.568813331,37.3267061242,48.1845663012,-213.858962452
141.5714284,37.3267488908,48.4162227849,-213.46361856
141.574043473,37.3267915999,48.6478792678,-212.417719216
141.576658548,37.3268342514,48.87953575,-211.64425553
141.579273627,37.3268768453,49.1111922314,-219.474483384
141.581888708,37.3269193817,49.3428487121,-227.198233174
141.584503792,37.3269618606,49.5745051921,-228.224170781
141.58711888,37.3270042819,49.8061616713,-225.621424709
141.58973397,37.3270466457,50.0378181497,-223.124517177
141.592349063,37.3270889519,50.2694746275,-230.514788205
141.594964159,37.3271312005,50.5011311045,-234.682391141
141.597579258,37.3271733916,50.7327875807,-233.85334747
141.600194359,37.3272155251,50.9644440563,-235.442112662
141.602809464,37.3272576011,51.1961005311,-237.579845122
141.605424572,37.3272996196,51.4277570051,-239.413891162
141.608039682,37.3273415805,51.6594134785,-241.780190147
141.610654796,37.3273834838,51.8910699511,-244.282061178
141.613269912,37.3274253296,52.1227264229,-246.084152159
141.615885031,37.3274671178,52.3543828941,-248.269961389
141.618500153,37.3275088485,52.5860393645,-250.85221641
141.621115278,37.3275505216,52.8176958342,-252.822639872
141.623730406,37.3275921372,53.0493523032,-254.652551735
141.626345537,37.3276336952,53.2810087714,-256.542183686
141.62896067,37.3276751957,53.5126652389,-258.430912255
141.631575807,37.3277166386,53.7443217057,-260.302554709
141.634190946,37.3277580239,53.9759781718,-261.999911195
141.636806088,37.3277993517,54.2076346372,-264.522367055
141.639421233,37.327840622,54.4392911018,-267.876322102
141.642036381,37.3278818347,54.6709475657,-271.602677479
141.644651531,37.3279229898,54.9026040289,-274.864075491
141.647266685,37.3279640874,55.1342604914,-277.23283848
141.649881841,37.3280051274,55.3659169532,-279.7588159
141.652497,37.3280461099,55.5975734142,-282.32172355
141.655112162,37.3280870348,55.8292298746,-284.815286402
141.657727327,37.3281279022,56.0608863342,-287.339471264
141.660342495,37.328168712,56.2925427931,-289.888911955
141.662957665,37.3282094643,56.5241992513,-292.449757934
141.665572839,37.328250159,56.7558557088,-294.678893103
141.668188015,37.3282907961,56.9875121656,-296.481933082
141.670803194,37.3283313757,57.2191686217,-298.821633925
141.673418375,37.3283718977,57.4508250771,-301.334834626
141.67603356,37.3284123622,57.6824815318,-303.68770972
